gene,Ribo-d1-1,Ribo-d1-2,Ribo-d5-1,Ribo-d5-2
ENSG00000000003,1185,1007,1477,1524
ENSG00000000005,41,27,1,3
ENSG00000000419,1177,916,1059,1027
ENSG00000000457,66,45,89,106
ENSG00000000460,312,237,336,358
ENSG00000000938,0,0,0,0
ENSG00000000971,0,0,0,0
ENSG00000001036,313,224,512,536
ENSG00000001084,437,300,428,373
ENSG00000001167,203,128,177,207
ENSG00000001460,39,30,34,31
ENSG00000001461,17,8,17,24
ENSG00000001497,1330,999,933,965
ENSG00000001561,73,74,145,135
ENSG00000001617,87,86,203,216
ENSG00000001626,1,0,9,14
ENSG00000001629,124,88,160,134
ENSG00000001630,157,97,204,237
ENSG00000001631,16,14,15,22
ENSG00000002016,47,34,62,55
ENSG00000002330,59,23,74,71
ENSG00000002549,807,454,403,421
ENSG00000002586,259,449,2105,2292
ENSG00000002587,0,2,19,32
ENSG00000002726,0,0,0,0
ENSG00000002745,0,0,3,1
ENSG00000002746,7,7,1,2
ENSG00000002822,171,167,272,286
ENSG00000002834,645,519,1097,1181
ENSG00000002919,73,63,88,74
ENSG00000002933,1,2,1,2
ENSG00000003056,753,506,555,556
ENSG00000003096,73,62,121,122
ENSG00000003137,0,0,0,0
ENSG00000003147,62,56,92,100
ENSG00000003249,85,38,46,44
ENSG00000003393,380,326,523,546
ENSG00000003400,6,12,48,66
ENSG00000003402,75,80,371,361
ENSG00000003436,72,381,2593,2616
ENSG00000003509,103,85,118,120
ENSG00000003756,819,618,1171,1156
ENSG00000003987,33,45,38,38
ENSG00000003989,183,435,3078,3336
ENSG00000004059,1391,967,1598,1518
ENSG00000004139,4,1,2,5
ENSG00000004142,371,257,374,465
ENSG00000004399,51,41,179,226
ENSG00000004455,39,30,19,33
ENSG00000004468,1,0,0,0
ENSG00000004478,1932,1414,1506,1661
ENSG00000004487,3776,2766,2969,3088
ENSG00000004534,520,366,643,671
ENSG00000004660,26,19,7,19
ENSG00000004700,384,315,729,648
ENSG00000004766,173,144,238,256
ENSG00000004776,10,2,14,4
ENSG00000004777,14,13,14,12
ENSG00000004779,1621,1148,1466,1463
ENSG00000004799,1,0,5,7
ENSG00000004809,0,0,0,0
ENSG00000004838,0,0,3,0
