gene,RNA-d1-1,RNA-d1-2,RNA-d5-1,RNA-d5-2
ENSG00000000003,1059,1229,1234,1365
ENSG00000000005,89,74,4,3
ENSG00000000419,1180,1306,620,665
ENSG00000000457,160,225,321,349
ENSG00000000460,775,857,618,587
ENSG00000000938,0,2,0,3
ENSG00000000971,0,0,0,0
ENSG00000001036,962,1030,1112,1074
ENSG00000001084,1335,1523,830,747
ENSG00000001167,896,943,971,825
ENSG00000001460,206,243,215,154
ENSG00000001461,69,79,108,80
ENSG00000001497,2427,2599,1548,1426
ENSG00000001561,70,100,95,80
ENSG00000001617,809,819,2284,1835
ENSG00000001626,6,2,4,9
ENSG00000001629,1343,1389,1225,1069
ENSG00000001630,291,303,308,272
ENSG00000001631,26,43,54,39
ENSG00000002016,308,318,318,239
ENSG00000002330,235,250,472,475
ENSG00000002549,1320,1476,557,478
ENSG00000002586,1006,1073,5418,4785
ENSG00000002587,4,7,124,87
ENSG00000002726,0,0,0,1
ENSG00000002745,0,0,8,14
ENSG00000002746,56,66,23,13
ENSG00000002822,1004,1096,1242,1075
ENSG00000002834,1568,1675,2086,1908
ENSG00000002919,232,243,235,213
ENSG00000002933,0,1,0,4
ENSG00000003056,1860,1961,1604,1480
ENSG00000003096,122,173,152,150
ENSG00000003137,1,3,3,2
ENSG00000003147,246,259,232,225
ENSG00000003249,452,442,145,110
ENSG00000003393,2081,2196,2552,2191
ENSG00000003400,5,27,87,82
ENSG00000003402,324,289,1733,1516
ENSG00000003436,77,112,2352,2094
ENSG00000003509,383,385,267,253
ENSG00000003756,2275,2478,3090,2466
ENSG00000003987,73,99,47,29
ENSG00000003989,204,243,4417,3612
ENSG00000004059,1794,1923,2065,1991
ENSG00000004139,10,25,37,19
ENSG00000004142,1596,1805,1722,1502
ENSG00000004399,1407,1590,3807,3164
ENSG00000004455,675,670,422,397
ENSG00000004468,0,1,0,0
ENSG00000004478,4022,4070,3119,2858
ENSG00000004487,11505,13266,9370,8977
ENSG00000004534,2860,3045,2519,2076
ENSG00000004660,135,147,108,75
ENSG00000004700,472,618,542,563
ENSG00000004766,238,313,212,256
ENSG00000004776,6,6,8,3
ENSG00000004777,197,208,254,263
ENSG00000004779,1086,1193,734,729
ENSG00000004799,0,0,2,8
ENSG00000004809,0,0,0,0
ENSG00000004838,5,1,9,3
ENSG00000004846,0,0,2,0
ENSG00000004848,0,2,2,2
ENSG00000004864,2933,3186,2390,2257
ENSG00000004866,163,165,296,250
ENSG00000004897,665,837,957,833
ENSG00000004939,6,0,1,1
ENSG00000004948,28,51,77,108
ENSG00000004961,485,476,392,362
ENSG00000004975,1892,2062,3007,2696
ENSG00000005001,10,3,5,6
ENSG00000005007,3419,3495,3513,2916
ENSG00000005020,128,133,39,42
ENSG00000005022,4357,4830,3304,3099
ENSG00000005059,137,222,53,62
ENSG00000005073,0,1,0,0
ENSG00000005075,63,59,80,75
ENSG00000005100,2456,2792,1370,1267
ENSG00000005102,0,0,0,0
ENSG00000005108,29,21,103,74
ENSG00000005156,3853,4119,3582,3158
ENSG00000005175,696,889,776,790
ENSG00000005187,55,68,52,52
ENSG00000005189,223,200,157,143
ENSG00000005194,599,718,601,620
ENSG00000005206,616,604,866,726
ENSG00000005238,128,100,395,290
ENSG00000005243,1,2,3,2
ENSG00000005249,369,416,309,325
ENSG00000005302,188,199,426,369
ENSG00000005339,7033,7989,9701,8229
ENSG00000005379,71,66,668,503
ENSG00000005381,0,0,0,0
ENSG00000005421,6,3,2,0
ENSG00000005436,487,621,421,473
ENSG00000005448,1820,1858,1175,1047
ENSG00000005469,41,61,64,56
ENSG00000005471,8,8,7,5
ENSG00000005483,2872,3341,2667,2157
