gene,control_1_poly,control_2_poly,control_3_poly,control_4_poly,treatment_1_poly,treatment_2_poly,treatment_3_poly,treatment_4_poly
simGenes_1,253,201,239,191,396,488,354,362
simGenes_2,130,195,81,123,131,57,209,185
simGenes_3,452,272,510,360,320,543,362,382
simGenes_4,2010,1979,1591,1880,1602,1526,1865,1823
simGenes_5,3637,2711,1920,2834,1024,1095,1426,1144
simGenes_6,589,611,758,314,607,623,440,756
simGenes_7,7172,7446,7413,7550,2565,2857,2812,2912
simGenes_8,848,603,578,539,603,522,797,661
simGenes_9,4248,4471,4335,3870,1443,1461,2069,1222
simGenes_10,2612,2653,1769,2546,2082,2411,2387,1854
simGenes_11,71379,71955,79276,74810,57988,87346,71354,74679
simGenes_12,475,524,450,267,796,308,271,489
simGenes_13,466,426,492,524,491,456,450,430
simGenes_14,5561,4448,4722,4248,5935,4331,4341,4340
simGenes_15,2239,2234,2087,1873,2265,2672,1502,2694
simGenes_16,85,154,141,126,81,146,213,133
simGenes_17,5678,5008,5236,5774,4950,5113,5384,5337
simGenes_18,174,120,189,171,140,172,155,216
simGenes_19,2342,3404,2510,3211,2782,3187,2625,2788
simGenes_20,1101,1524,1149,920,1162,1398,1690,1325
simGenes_21,2205,2070,2053,2286,2400,2484,2743,2880
simGenes_22,115,144,144,134,178,114,133,130
simGenes_23,216,167,261,186,252,130,197,233
simGenes_24,6815,4659,5698,5140,3567,2676,2118,3784
simGenes_25,874,1145,954,1427,974,871,1181,1115
simGenes_26,728,1160,431,1372,244,380,814,1007
simGenes_27,844,664,755,636,907,774,627,746
simGenes_28,33074,36458,35285,37811,40930,37714,38319,37050
simGenes_29,2301,2250,1898,1934,2240,2286,2061,2451
simGenes_30,95,74,67,94,97,106,98,91
simGenes_31,2249,1891,2017,1756,1995,2022,2031,2162
simGenes_32,1872,1998,1851,1873,795,1054,920,588
simGenes_33,444,459,262,411,436,285,318,302
simGenes_34,679,874,463,795,687,701,913,691
simGenes_35,7148,8477,6598,6957,2518,2511,3490,4157
simGenes_36,1826,1317,1346,1357,1769,1905,2057,1453
simGenes_37,1599,1243,1160,1245,2091,1161,604,853
simGenes_38,11938,11549,10041,10714,11688,10559,10827,10989
simGenes_39,268,290,133,134,250,186,137,182
simGenes_40,420,298,540,428,530,531,435,457
simGenes_41,450,495,274,493,429,535,559,765
simGenes_42,908,1194,567,1018,765,907,606,1276
simGenes_43,1117,1003,1015,1004,1031,948,1073,861
simGenes_44,1999,1635,1932,1802,1943,1851,2258,1702
simGenes_45,590,451,632,518,607,542,635,526
simGenes_46,622,759,696,599,708,769,703,676
simGenes_47,4712,4144,4329,3592,3189,4592,4371,3814
simGenes_48,450,512,529,263,302,410,516,635
simGenes_49,1015,1395,1157,1278,1130,1387,1319,1225
simGenes_50,3749,3545,3190,3535,1998,3448,3850,2633
simGenes_51,2931,2773,3560,2953,4974,4787,4801,4659
simGenes_52,12651,14247,14730,13781,12079,13212,15001,13469
simGenes_53,2858,2418,2913,2272,2191,2541,3461,2439
simGenes_54,4305,3982,4104,4144,3803,4339,3891,3595
simGenes_55,1500,1642,1995,2331,1910,1984,1850,1421
simGenes_56,3293,3026,2793,3017,3001,3072,2996,2914
simGenes_57,8708,9222,9107,12921,9064,8233,8346,9356
simGenes_58,697,593,628,643,496,580,465,791
simGenes_59,14319,7954,9560,10951,13203,10151,10252,12468
simGenes_60,395,619,324,579,421,903,541,370
simGenes_61,351,402,394,296,400,471,435,415
simGenes_62,2408,2647,3143,2969,2311,2112,1991,1575
simGenes_63,4479,3070,4004,3940,4506,3981,2802,5888
simGenes_64,9926,14565,16175,17049,24755,11150,14427,21884
simGenes_65,66,95,124,105,108,92,93,83
simGenes_66,585,764,476,668,681,674,773,947
simGenes_67,1662,1314,1318,1831,1069,1268,1366,1826
simGenes_68,960,950,1007,1256,1062,1132,769,694
simGenes_69,4247,5170,4112,4782,8911,9392,8967,9362
simGenes_70,1313,1599,1259,1635,1351,1605,1249,1314
simGenes_71,1940,2465,2438,2713,2092,2372,1666,2224
simGenes_72,4097,5282,4398,5031,4724,4410,3856,5261
simGenes_73,1806,1142,802,580,2130,2283,2297,2297
simGenes_74,626,725,724,937,808,766,545,756
simGenes_75,2855,2496,2394,3258,2290,2304,3503,2714
simGenes_76,484,905,495,583,872,448,757,865
simGenes_77,239,279,238,168,225,252,274,218
simGenes_78,692,609,568,581,822,785,553,628
simGenes_79,5896,7089,6655,6580,6168,6779,8103,7075
simGenes_80,3563,2487,3106,3595,2393,2356,2739,2583
simGenes_81,935,646,492,584,200,283,282,389
simGenes_82,2567,2561,2431,2517,2289,2460,2538,2418
simGenes_83,46,38,83,67,43,116,88,111
simGenes_84,535,483,360,488,509,447,419,350
simGenes_85,372,245,423,90,203,222,529,138
simGenes_86,1976,1474,1055,1268,4282,5189,3215,4909
simGenes_87,1201,1311,1322,1245,1243,1247,1306,1319
simGenes_88,116,115,165,157,150,176,193,137
simGenes_89,708,858,910,625,911,1153,721,729
simGenes_90,22865,25980,26215,20747,25317,23851,21929,26487
simGenes_91,813,1102,830,486,559,582,955,615
simGenes_92,1663,1813,1669,1426,909,1178,2163,1499
simGenes_93,289,245,186,216,139,252,175,221
simGenes_94,1232,1186,1350,1180,1072,1359,1297,1125
simGenes_95,557,792,603,1141,1569,1925,1945,1586
simGenes_96,935,1321,1028,1231,1181,1210,936,873
simGenes_97,2855,3557,3547,3317,3457,3056,3235,3320
simGenes_98,2389,2289,2393,2311,2238,2363,2490,2475
simGenes_99,913,1182,758,900,686,841,1050,837
simGenes_100,2140,1741,2232,1516,2132,1853,1746,1799
simGenes_101,1847,2034,1945,1447,2263,1926,1294,2076
simGenes_102,6310,4511,4180,5496,6024,6583,5430,6702
simGenes_103,101,100,127,60,108,97,90,83
simGenes_104,448,499,264,548,504,518,429,480
simGenes_105,8632,5691,4928,7337,9762,7309,7836,7586
simGenes_106,475,799,462,543,468,560,505,687
simGenes_107,141,192,197,121,194,153,176,293
simGenes_108,2391,1345,1395,1713,1109,1211,1968,2253
simGenes_109,5917,5502,6243,5863,5746,5640,6002,6378
simGenes_110,1792,1825,2450,1899,1739,1797,2239,1853
simGenes_111,344,362,359,297,373,369,327,389
simGenes_112,6218,6299,6535,6841,6866,6586,6310,6390
simGenes_113,29357,19394,26402,28981,28806,28892,24316,28567
simGenes_114,1731,1631,1476,1813,1545,1938,1562,1495
simGenes_115,2553,1829,769,1195,1485,583,1489,2250
simGenes_116,776,747,695,593,419,311,424,444
simGenes_117,343,669,252,376,208,197,314,171
simGenes_118,105,62,107,105,119,96,88,187
simGenes_119,209,247,391,366,328,244,243,339
simGenes_120,1112,1170,781,1175,888,984,1169,958
simGenes_121,499,703,604,425,711,424,678,803
simGenes_122,3156,3775,3519,3255,3111,3629,3525,2881
simGenes_123,2177,2034,2182,2162,2008,2032,2058,2182
simGenes_124,979,1102,1133,1167,995,1069,993,958
simGenes_125,1366,1727,1545,2051,1759,1496,1884,1200
simGenes_126,614,478,361,546,623,665,640,319
simGenes_127,595,522,465,502,493,502,494,504
simGenes_128,354,318,462,219,437,419,464,320
simGenes_129,2443,2263,2639,2313,2096,2114,2195,2523
simGenes_130,2809,2841,2791,3041,2741,2781,2814,2796
simGenes_131,527,601,829,268,424,515,496,718
simGenes_132,173,141,133,159,150,155,163,159
simGenes_133,4479,3786,4115,5145,3924,4785,4344,4761
simGenes_134,741,990,847,973,537,695,454,547
simGenes_135,107,119,113,112,98,120,138,110
simGenes_136,5093,5533,4557,3504,5062,4596,6087,4251
simGenes_137,16704,13717,12418,14711,16493,14292,14972,14394
simGenes_138,115,161,179,209,72,94,65,57
simGenes_139,1054,2495,1431,2690,508,1767,1719,3127
simGenes_140,4458,4064,3398,3326,4195,3600,2886,4938
simGenes_141,331,341,439,335,519,292,451,450
simGenes_142,92,70,90,93,105,76,148,102
simGenes_143,6116,5494,4368,4113,2687,2756,2864,2648
simGenes_144,2831,3320,3441,3808,2915,2711,3193,3503
simGenes_145,1676,1444,1542,1371,1226,1342,1486,1252
simGenes_146,1209,1094,1393,1069,1327,1437,1025,1294
simGenes_147,1465,1296,1283,1557,654,976,696,719
simGenes_148,7034,7299,6854,6906,6344,7039,7488,7066
simGenes_149,2046,1699,1621,1553,1197,2421,1048,1165
simGenes_150,3350,3369,3622,3227,2107,2371,1955,1485
simGenes_151,1460,1722,1633,1807,1667,1712,1527,1488
simGenes_152,294,144,349,169,186,207,251,155
simGenes_153,370,563,318,475,176,820,216,312
simGenes_154,257,218,387,200,255,338,664,215
simGenes_155,4265,3739,4864,4693,3273,2261,2888,3259
simGenes_156,798,975,1497,1324,631,845,718,978
simGenes_157,632,636,578,481,662,856,733,937
simGenes_158,342,550,497,692,336,400,403,546
simGenes_159,2711,2817,2213,2649,2872,2224,2377,2371
simGenes_160,912,807,699,744,1740,668,951,1071
simGenes_161,8844,10797,7527,10434,12596,8669,9282,8206
simGenes_162,2243,3267,2474,1930,1541,1674,2176,2306
simGenes_163,2395,2149,1362,2828,2774,3980,1859,2683
