gene,control_1_cyto,control_2_cyto,control_3_cyto,control_4_cyto,treatment_1_cyto,treatment_2_cyto,treatment_3_cyto,treatment_4_cyto
simGenes_1,253,197,144,223,436,406,356,321
simGenes_2,513,545,561,456,1053,808,859,1153
simGenes_3,448,667,728,575,503,761,659,668
simGenes_4,3379,3136,3796,3895,3282,5146,3292,3677
simGenes_5,3396,2673,2959,3563,3225,2029,3006,3437
simGenes_6,727,579,731,1457,787,703,488,331
simGenes_7,7873,7361,6915,6757,4170,2350,2998,4742
simGenes_8,810,900,760,763,847,777,706,757
simGenes_9,3874,4233,3966,4153,1607,1612,1032,1578
simGenes_10,7772,6902,6679,8054,7821,5144,6207,6895
simGenes_11,46417,40916,45749,46366,47072,39322,46829,39058
simGenes_12,638,1268,1047,842,473,794,536,840
simGenes_13,832,544,819,690,816,614,864,1025
simGenes_14,3853,3566,3714,3397,3284,3869,3186,3430
simGenes_15,1636,2376,1413,2180,5721,2864,2309,3757
simGenes_16,301,317,522,335,459,375,239,351
simGenes_17,9618,10873,9773,10064,7463,11021,9292,8863
simGenes_18,163,157,99,216,116,148,174,130
simGenes_19,2275,2518,3783,3412,2884,2425,2153,3158
simGenes_20,1120,1155,1078,1126,1125,1138,1096,1124
simGenes_21,4913,4863,6654,6537,5933,7450,7387,5158
simGenes_22,477,459,335,349,334,415,391,322
simGenes_23,186,275,127,216,223,143,143,209
simGenes_24,3579,2940,3052,3922,4233,3838,3090,3423
simGenes_25,1067,1126,783,606,941,968,898,877
simGenes_26,369,287,281,642,411,451,210,297
simGenes_27,602,1306,915,930,514,1749,662,942
simGenes_28,17343,16513,16413,17490,17879,15602,14185,17745
simGenes_29,3120,1876,2924,3161,1796,2456,2714,2163
simGenes_30,123,110,126,160,55,36,39,49
simGenes_31,2444,2495,2416,2441,2640,2946,2612,2615
simGenes_32,3343,2462,3218,3021,2924,2963,3614,2799
simGenes_33,1693,1646,1499,1523,1494,1698,1550,1641
simGenes_34,800,589,1303,1382,1619,1435,1091,1464
simGenes_35,4639,4273,4052,4485,4769,4455,4568,4657
simGenes_36,1789,1951,1891,1489,1059,1858,1468,1952
simGenes_37,2930,2835,2833,2853,2977,2705,2716,2412
simGenes_38,6429,4940,6826,5983,6004,5744,5825,5724
simGenes_39,340,244,300,320,443,324,147,169
simGenes_40,909,1262,923,1364,1875,1036,1617,1657
simGenes_41,1425,1379,1406,1442,1484,1498,1294,1621
simGenes_42,496,506,349,242,503,345,532,392
simGenes_43,520,1041,508,656,553,504,994,673
simGenes_44,1116,702,925,858,1039,820,754,883
simGenes_45,549,1361,319,604,280,466,389,246
simGenes_46,1022,1064,851,905,1008,738,1065,960
simGenes_47,3519,4533,4511,3583,3675,3089,3993,3129
simGenes_48,989,904,1089,789,766,815,777,1002
simGenes_49,1319,984,2230,1550,1411,487,1599,1990
simGenes_50,2337,2963,3007,2901,2359,2539,3457,2403
simGenes_51,1998,2269,1983,1587,1450,1369,1691,2352
simGenes_52,12139,12056,11624,11170,12166,12157,10491,10515
simGenes_53,765,2081,1281,1532,5693,2895,1062,3919
simGenes_54,3039,2065,2459,2412,2852,2096,2498,2551
simGenes_55,1168,1482,1485,1252,995,1463,927,826
simGenes_56,2882,2087,2253,2675,2184,2296,1860,2640
simGenes_57,4872,4225,5416,5982,6459,6273,7878,5192
